uid,SMILES,S1_energy(eV),T1_energy(eV)
train_0,CCC1CCCCN1C(=O)C(C)OC(=O)c1c(C)oc(-n2cccc2)c1C#N,4.6747,3.3809
train_1,COc1ccc(Oc2ccc(N3C(=S)NC(c4ccccn4)C3c3cc(C)n(-c4cc(Cl)ccc4O)c3C)cc2)cc1,3.6617,3.4585
train_2,CC(=O)Nc1ccc(C(=O)[C@H](C)Sc2nnc(C3CCCCC3)o2)cc1,3.642,3.1787
train_3,OC(CNC1CC1)CN1CCc2sccc2C1,4.8901,3.7847
train_4,CCNC(CCCC(F)(F)F)C1(OCC)CCOCC1,6.4967,6.2724
train_5,N#CCCNC(=O)C1(O)CCSC1,5.0819,4.6555
train_6,CC(C)CCC(C)NC(=O)c1ccc(Br)c(N)c1,4.4008,3.3994
train_7,COCC1CN(c2ccc(OCC[C@@H](C)O)cc2)C(=O)O1,4.82,3.7971
train_8,CCOc1ccc(NC(=O)c2cnn(-c3ccc(Cl)cc3)c2C(F)(F)F)cc1,3.9076,3.4331
train_9,N#Cc1c(-c2ccccc2OCC(N)=O)[nH]c(C(N)=O)c1N,4.1999,2.9916
train_10,CCc1nn(CC)c(Cn2ccsc2=O)c1Cl,5.349,3.8939
train_11,C=CCC(=O)Cc1cncc(Br)c1,4.0663,3.4948
train_12,COc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc(C)cc1,2.7861,2.5324
train_13,CCOC(=O)C(N)CCSCCN1C(=O)NC(C)(C)C1=O,5.2992,4.8874
train_14,CO[C@H](C)C(=O)N(C)Cc1csc(NC(=O)NCc2cccc(F)c2)n1,5.1907,3.6754
train_15,Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)c1C,4.6526,3.8014
train_16,C[C@H]1CN(C(=O)N2CCOC(CC(=O)O)C2)C[C@@H](C)O1,5.7802,5.1642
train_17,CCN(CC)C(=O)c1ccccc1NC(=O)CCc1nc(-c2cccnc2)no1,4.3934,3.628
train_18,CC(C)n1cc(NCc2cc(Br)c(Cl)s2)cn1,4.006,3.4789999999999996
train_19,CCC1(C)C(Br)CC1Oc1ccc(Cl)c2ccccc12,4.2949,2.9387
train_20,COc1ccc(CC(Oc2cc(C)cc(C)c2)C(=O)O)c(OC)c1,5.0522,4.0018
train_21,Cc1cc(C)c(C2=C(O)[C@@H]3C4O[C@@H](CC4c4cccc(C#N)c4)[C@@H]3C2=O)c(C)c1,3.9174,3.4905
train_22,CCC(C(=O)O)N1CCc2cc(OC)ccc2C1,5.0207,4.0544
train_23,O=C(COC(=O)C1CCC1)NC(=O)c1ccccc1,3.9633,3.5497
train_24,COC(=O)CCCNC(=O)[C@H](N)C(C)C,5.5993,5.1227
train_25,CC1CCN(C(=O)CCc2nc(-c3ncccn3)no2)CC1(C)C,3.9465,3.6060000000000003
train_26,CCn1ncc(CN2CCC(N3C(=O)C(OCC4CC4)C34CCCCC4)CC2)c1C,5.2785,4.6294
train_27,N#CC(NC(=O)Cn1cc2ccccc2n1)C1CCCCC1,4.7106,2.9563
train_28,CC(N)(CNC1CCC1)C12CC3CC(CC(C3)C1)C2,6.1833,6.0649
train_29,CCNc1ccc(OC(=O)c2ccc([N+](=O)[O-])cc2)cc1,2.6302,2.5153
train_30,COCCCNC(=O)C(=O)NCC1COc2ccccc2O1,4.3329,3.8541
train_31,CC1CCCC(CBr)(NC(=O)C2(C)CCCO2)C1,5.4686,5.0245
train_32,NNc1ncc(S(=O)(=O)N(CCCO)C2CCC2)cc1Cl,4.6477,3.6427
train_33,CC(C)(C)OC(=O)NC1CCC(c2cc(N(COCC[Si](C)(C)C)COCC[Si](C)(C)C)n3ncc(I)c3n2)CC1,4.0703,3.1971
train_34,CCC(C)(OC)c1nc(O)c(-c2cccc(Br)c2)c(=O)[nH]1,4.2516,3.0898
train_35,CC1CN(C(=O)NC(CCC(=O)O)Cc2ccccc2)CC(C)S1(=O)=O,5.4029,4.228
train_36,COc1ccc(/C=C/C(=O)Nc2ccc(OC3CCN(C)CC3)cc2)cc1OC,3.6398,2.7912
train_37,CN(CCOc1ccccc1F)C(=O)c1ccc([N+](=O)[O-])s1,3.6336,3.0239999999999996
train_38,CCN(CC1CCOC1)C(=O)NCc1ccc(N2CCOCC2)nc1,4.4791,3.5607
train_39,COC(=O)[C@](O)(c1ccccc1)[C@H](O)c1ccccc1,5.3523,4.199
train_40,CC(C)Cc1ccc(S(=O)(=O)NC2CCNCC2C)cc1,4.654,4.0316
